shrid2,road_award_date_new,road_award_date_upg,road_comp_date_new,road_comp_date_upg,road_comp_date_stip_new,road_comp_date_stip_upg,road_sanc_year_new,road_sanc_year_upg,road_length_new,road_length_upg,road_cost_new,road_cost_upg,road_cost_sanc_new,road_cost_sanc_upg,road_cost_state_new,road_cost_state_upg,road_name_new,road_name_upg
11-01-001-00002-000249,,,,,,,,,,,,,,,,,,
11-01-001-00002-000250,,,,,,,,,,,,,,,,,,
11-01-001-00002-000251,2010-12-01,,2013-08-01,,2011-12-15,,2003.0,,6.0,,261.51,,269.04,,0.0,,KAKROOSA TO ZAFFARKHANI WAISA KAWNAR,
11-01-001-00002-000252,2010-12-01,,2013-08-01,,2011-12-15,,2003.0,,6.0,,261.51,,269.04,,0.0,,KAKROOSA TO ZAFFARKHANI WAISA KAWNAR,
11-01-001-00002-000253,2012-11-26,,2011-10-01,,2012-10-23,,2003.0,,8.0,,327.16,,321.79,,0.0,,BEHNIPORA TO DOGRIPORA SARAMARG,
11-01-001-00002-000254,2008-11-01,,2013-10-01,,2009-08-12,,2006.0,,3.0,,92.74,,98.97,,0.0,,Behnipora-Rathanpora - Rohenzeb,
11-01-001-00002-000255,2012-11-26,,2011-10-01,,2012-10-23,,2003.0,,8.0,,327.16,,321.79,,0.0,,BEHNIPORA TO DOGRIPORA SARAMARG,
11-01-001-00002-000256,2011-03-12,,,,,,2007.0,,,,,,,,,,,
11-01-001-00002-000257,2012-11-26,,2011-10-01,,2012-10-23,,2003.0,,8.0,,327.16,,321.79,,0.0,,BEHNIPORA TO DOGRIPORA SARAMARG,
11-01-001-00002-000258,2008-11-01,,2010-05-01,,2009-08-10,,2006.0,,4.0,,80.05,,80.68,,0.0,,Satkojan - Dardhaji,
11-01-001-00002-000259,2012-06-04,,2012-10-01,,2012-06-20,,2004.0,,6.0,,71.21,,170.88,,0.0,,Waddar Payeen - Waddar Bala,
11-01-001-00002-000260,2008-11-01,,2010-12-01,,2009-11-14,,2006.0,,2.8,,119.6,,120.95,,0.0,,Behnipora - Nichama,
11-01-001-00002-000261,2009-12-26,,,,,,2006.0,,,,,,,,,,,
11-01-001-00002-000262,2011-03-08,,,,,,2007.0,,,,,,,,,,,
11-01-001-00002-000263,2008-12-04,,2010-06-01,,2009-09-14,,2006.0,,2.0,,71.24,,71.94,,0.0,,Nawgam - Anderdagi,
11-01-001-00002-000264,,,,,,,,,,,,,,,,,,
11-01-001-00002-000265,,,,,,,,,,,,,,,,,,
11-01-001-00002-000266,2008-12-15,,2010-12-01,,2009-12-29,,2006.0,,2.99,,97.56,,111.4,,0.0,,Drungsoo-kutlari - Khudi,
11-01-001-00002-000267,2008-12-15,,2010-12-01,,2009-12-29,,2006.0,,2.99,,97.56,,111.4,,0.0,,Drungsoo-kutlari - Khudi,
11-01-001-00002-000268,,,,,,,,,,,,,,,,,,
11-01-001-00002-000269,,2008-11-15,,,,,,2006.0,,,,,,,,,,
11-01-001-00002-000270,,2008-11-15,,,,,,2006.0,,,,,,,,,,
11-01-001-00002-000271,,2008-11-15,,,,,,2006.0,,,,,,,,,,
11-01-001-00002-000272,,2008-11-15,,,,,,2006.0,,,,,,,,,,
11-01-001-00002-000273,2012-09-17,,,,,,2011.0,,,,,,,,,,,
11-01-001-00002-000274,,,,,,,,,,,,,,,,,,
11-01-001-00002-000275,,,,,,,,,,,,,,,,,,
11-01-001-00002-000276,,2008-11-15,,,,,,2006.0,,,,,,,,,,
11-01-001-00002-000277,,2008-11-15,,,,,,2006.0,,,,,,,,,,
11-01-001-00002-000278,,,,,,,,,,,,,,,,,,
11-01-001-00002-000279,,,,,,,,,,,,,,,,,,
11-01-001-00002-000280,,,,,,,,,,,,,,,,,,
11-01-001-00002-000281,,,,,,,,,,,,,,,,,,
11-01-001-00002-000282,,,,,,,,,,,,,,,,,,
11-01-001-00002-000283,,,,,,,,,,,,,,,,,,
11-01-001-00002-000284,,2011-04-09,,,,,,2007.0,,,,,,,,,,
11-01-001-00002-000285,,2008-11-15,,,,,,2006.0,,,,,,,,,,
11-01-001-00002-000286,,2011-04-09,,,,,,2007.0,,,,,,,,,,
11-01-001-00002-000287,,2011-04-13,,,,,,2007.0,,,,,,,,,,
11-01-001-00002-000288,,2011-04-13,,,,,,2007.0,,,,,,,,,,
11-01-001-00002-000289,,,,,,,,,,,,,,,,,,
11-01-001-00002-000290,,,,,,,,,,,,,,,,,,
11-01-001-00002-000291,,,,,,,,,,,,,,,,,,
11-01-001-00002-000292,,,,,,,,,,,,,,,,,,
11-01-001-00002-000293,,,,,,,,,,,,,,,,,,
11-01-001-00002-000294,,,,,,,,,,,,,,,,,,
11-01-001-00002-000295,,,,,,,,,,,,,,,,,,
11-01-001-00002-000296,2003-07-15,,,,,,2001.0,,,,,,,,,,,
11-01-001-00002-000297,,,,,,,,,,,,,,,,,,
11-01-001-00002-000298,,,,,,,,,,,,,,,,,,
11-01-001-00002-000299,,,,,,,,,,,,,,,,,,
11-01-001-00002-000300,,,,,,,,,,,,,,,,,,
11-01-001-00002-000301,,,,,,,,,,,,,,,,,,
11-01-001-00002-000302,,,,,,,,,,,,,,,,,,
11-01-001-00002-000303,,,,,,,,,,,,,,,,,,
11-01-001-00002-000304,,,,,,,,,,,,,,,,,,
11-01-001-00002-000305,,,,,,,,,,,,,,,,,,
11-01-001-00002-000306,,,,,,,,,,,,,,,,,,
11-01-001-00002-000308,,,,,,,,,,,,,,,,,,
11-01-001-00002-000309,,,,,,,,,,,,,,,,,,
11-01-001-00002-000310,,,,,,,,,,,,,,,,,,
11-01-001-00002-000311,,,,,,,,,,,,,,,,,,
11-01-001-00002-000312,,,,,,,,,,,,,,,,,,
11-01-001-00002-000313,,,,,,,,,,,,,,,,,,
11-01-001-00002-000314,,,,,,,,,,,,,,,,,,
11-01-001-00002-000315,,,,,,,,,,,,,,,,,,
11-01-001-00002-000316,,,,,,,,,,,,,,,,,,
11-01-001-00002-000317,,,,,,,,,,,,,,,,,,
11-01-001-00002-000318,,,,,,,,,,,,,,,,,,
11-01-001-00002-000319,,,,,,,,,,,,,,,,,,
11-01-001-00002-000320,,,,,,,,,,,,,,,,,,
11-01-001-00002-000321,,,,,,,,,,,,,,,,,,
11-01-001-00002-000322,,,,,,,,,,,,,,,,,,
11-01-001-00002-000323,,,,,,,,,,,,,,,,,,
11-01-001-00002-000324,,,,,,,,,,,,,,,,,,
11-01-001-00002-000325,,,,,,,,,,,,,,,,,,
11-01-001-00002-000326,,,,,,,,,,,,,,,,,,
11-01-001-00002-000327,,,,,,,,,,,,,,,,,,
11-01-001-00003-000328,,,,,,,,,,,,,,,,,,
11-01-001-00003-000329,,,,,,,,,,,,,,,,,,
11-01-001-00003-000330,2012-06-02,,2013-03-01,,2012-12-16,,2006.0,,5.0,,305.91,,293.38,,0.0,,Teetwal - Tarbansiory Seemari,
11-01-001-00003-000331,,,,,,,,,,,,,,,,,,
11-01-001-00003-000332,,2011-05-27,,2013-12-01,,2012-12-04,,2007.0,,3.0,,336.48,,438.45,,0.0,,Chitterkote - Gundigujran
11-01-001-00003-000333,,2011-05-27,,2013-12-01,,2012-12-04,,2007.0,,3.0,,336.48,,438.45,,0.0,,Chitterkote - Gundigujran
11-01-001-00003-000334,,,,,,,,,,,,,,,,,,
11-01-001-00003-000335,,,,,,,,,,,,,,,,,,
11-01-001-00003-000336,,,,,,,,,,,,,,,,,,
11-01-001-00003-000337,,,,,,,,,,,,,,,,,,
11-01-001-00003-000338,,,,,,,,,,,,,,,,,,
11-01-001-00003-000339,,,,,,,,,,,,,,,,,,
11-01-001-00003-000340,,,,,,,,,,,,,,,,,,
11-01-001-00003-000341,,,,,,,,,,,,,,,,,,
11-01-001-00003-000342,,,,,,,,,,,,,,,,,,
11-01-001-00003-000343,,,,,,,,,,,,,,,,,,
11-01-001-00003-000344,,,,,,,,,,,,,,,,,,
11-01-001-00003-000345,,,,,,,,,,,,,,,,,,
11-01-001-00003-000346,,,,,,,,,,,,,,,,,,
11-01-001-00003-000347,,,,,,,,,,,,,,,,,,
11-01-001-00003-000348,,2011-05-27,,2013-12-01,,2012-12-04,,2007.0,,3.0,,336.48,,438.45,,0.0,,Chitterkote - Gundigujran
11-01-001-00003-000349,,,,,,,,,,,,,,,,,,
11-01-001-00003-000350,,,,,,,,,,,,,,,,,,
11-01-001-00003-000351,,,,,,,,,,,,,,,,,,
11-01-001-00003-000352,,,,,,,,,,,,,,,,,,
11-01-001-00003-000353,2008-10-20,,2012-09-01,,2009-10-29,,2006.0,,3.0,,102.78,,105.95,,0.0,,Sikh Bridge - Pingla Haridal,
11-01-001-00003-000354,,,,,,,,,,,,,,,,,,
11-01-001-00003-000355,,,,,,,,,,,,,,,,,,
11-01-001-00003-000356,,,,,,,,,,,,,,,,,,
11-01-001-00003-000357,2012-08-28,,,,,,2011.0,,,,,,,,,,,
11-01-001-00003-000358,,,,,,,,,,,,,,,,,,
11-01-001-00003-000359,2012-08-28,,,,,,2011.0,,,,,,,,,,,
11-01-001-00003-000360,2012-08-28,,,,,,2011.0,,,,,,,,,,,
11-01-001-00003-000361,,,,,,,,,,,,,,,,,,
11-01-001-00003-000362,,,,,,,,,,,,,,,,,,
11-01-001-00003-000364,,,,,,,,,,,,,,,,,,
11-01-001-00003-000365,,,,,,,,,,,,,,,,,,
11-01-001-00003-000366,,,,,,,,,,,,,,,,,,
11-01-001-00003-000367,,,,,,,,,,,,,,,,,,
11-01-001-00003-000369,,,,,,,,,,,,,,,,,,
11-01-001-00003-000370,,,,,,,,,,,,,,,,,,
11-01-002-00004-000371,,,,,,,,,,,,,,,,,,
11-01-002-00004-000372,,,,,,,,,,,,,,,,,,
11-01-002-00004-000373,,,,,,,,,,,,,,,,,,
11-01-002-00004-000374,,,,,,,,,,,,,,,,,,
11-01-002-00004-000375,,,,,,,,,,,,,,,,,,
11-01-002-00004-000376,,,,,,,,,,,,,,,,,,
11-01-002-00004-000377,,,,,,,,,,,,,,,,,,
11-01-002-00004-000378,,,,,,,,,,,,,,,,,,
11-01-002-00004-000379,,,,,,,,,,,,,,,,,,
11-01-002-00004-000380,,,,,,,,,,,,,,,,,,
11-01-002-00004-000381,,,,,,,,,,,,,,,,,,
11-01-002-00004-000382,,,,,,,,,,,,,,,,,,
11-01-002-00004-000383,,,,,,,,,,,,,,,,,,
11-01-002-00004-000384,,,,,,,,,,,,,,,,,,
11-01-002-00004-000385,,,,,,,,,,,,,,,,,,
11-01-002-00004-000386,,,,,,,,,,,,,,,,,,
11-01-002-00004-000387,,,,,,,,,,,,,,,,,,
11-01-002-00004-000388,,,,,,,,,,,,,,,,,,
11-01-002-00004-000389,,,,,,,,,,,,,,,,,,
11-01-002-00004-000390,,,,,,,,,,,,,,,,,,
11-01-002-00004-000391,,,,,,,,,,,,,,,,,,
11-01-002-00004-000392,,,,,,,,,,,,,,,,,,
11-01-002-00004-000393,,,,,,,,,,,,,,,,,,
11-01-002-00004-000394,,,,,,,,,,,,,,,,,,
11-01-002-00004-000395,,,,,,,,,,,,,,,,,,
11-01-002-00004-000396,,,,,,,,,,,,,,,,,,
11-01-002-00004-000397,,,,,,,,,,,,,,,,,,
11-01-002-00004-000398,,,,,,,,,,,,,,,,,,
11-01-002-00004-000399,,,,,,,,,,,,,,,,,,
11-01-002-00004-000400,,,,,,,,,,,,,,,,,,
11-01-002-00004-000401,,,,,,,,,,,,,,,,,,
11-01-002-00004-000402,,,,,,,,,,,,,,,,,,
11-01-002-00004-000403,,,,,,,,,,,,,,,,,,
11-01-002-00004-000404,,,,,,,,,,,,,,,,,,
11-01-002-00004-000405,,,,,,,,,,,,,,,,,,
11-01-002-00004-000406,,,,,,,,,,,,,,,,,,
11-01-002-00004-000407,,,,,,,,,,,,,,,,,,
11-01-002-00004-000408,,,,,,,,,,,,,,,,,,
11-01-002-00004-000409,,,,,,,,,,,,,,,,,,
11-01-002-00004-000410,,,,,,,,,,,,,,,,,,
11-01-002-00004-000411,,,,,,,,,,,,,,,,,,
11-01-002-00004-000412,,,,,,,,,,,,,,,,,,
11-01-002-00004-000413,,,,,,,,,,,,,,,,,,
11-01-002-00004-000414,,,,,,,,,,,,,,,,,,
11-01-002-00004-000415,,,,,,,,,,,,,,,,,,
11-01-002-00004-000416,,,,,,,,,,,,,,,,,,
11-01-002-00004-000417,,,,,,,,,,,,,,,,,,
11-01-002-00004-000418,,,,,,,,,,,,,,,,,,
11-01-002-00004-000523,,,,,,,,,,,,,,,,,,
11-01-002-00005-000419,,,,,,,,,,,,,,,,,,
11-01-002-00005-000420,,,,,,,,,,,,,,,,,,
11-01-002-00005-000421,2009-01-02,,2010-11-01,,2010-01-01,,2006.0,,5.5,,175.61,,181.21,,0.0,,T01 Km 2nd - Arampora,
11-01-002-00005-000422,,,,,,,,,,,,,,,,,,
11-01-002-00005-000423,2011-03-08,,2014-03-01,,2012-03-18,,2007.0,,3.0,,90.36,,182.5,,0.0,,L022 KM 5th - Lahoricheck,
11-01-002-00005-000424,,,,,,,,,,,,,,,,,,
11-01-002-00005-000425,,,,,,,,,,,,,,,,,,
11-01-002-00005-000426,,,,,,,,,,,,,,,,,,
11-01-002-00005-000427,,,,,,,,,,,,,,,,,,
11-01-002-00005-000428,,,,,,,,,,,,,,,,,,
11-01-002-00005-000429,,,,,,,,,,,,,,,,,,
11-01-002-00005-000430,,,,,,,,,,,,,,,,,,
11-01-002-00005-000431,,,,,,,,,,,,,,,,,,
11-01-002-00005-000432,,,,,,,,,,,,,,,,,,
11-01-002-00005-000433,,,,,,,,,,,,,,,,,,
11-01-002-00005-000434,,,,,,,,,,,,,,,,,,
11-01-002-00005-000435,2011-04-09,,,,,,2007.0,,,,,,,,,,,
11-01-002-00005-000436,,,,,,,,,,,,,,,,,,
11-01-002-00005-000437,,,,,,,,,,,,,,,,,,
11-01-002-00005-000438,,,,,,,,,,,,,,,,,,
11-01-002-00005-000439,,,,,,,,,,,,,,,,,,
11-01-002-00005-000440,,,,,,,,,,,,,,,,,,
11-01-002-00005-000441,,,,,,,,,,,,,,,,,,
11-01-002-00005-000442,,,,,,,,,,,,,,,,,,
11-01-002-00005-000443,,,,,,,,,,,,,,,,,,
11-01-002-00005-000444,,,,,,,,,,,,,,,,,,
11-01-002-00005-000445,,,,,,,,,,,,,,,,,,
11-01-002-00005-000446,,,,,,,,,,,,,,,,,,
11-01-002-00005-000447,,,,,,,,,,,,,,,,,,
11-01-002-00005-000448,,,,,,,,,,,,,,,,,,
11-01-002-00005-000449,,,,,,,,,,,,,,,,,,
11-01-002-00005-000450,,,,,,,,,,,,,,,,,,
11-01-002-00005-000451,,,,,,,,,,,,,,,,,,
11-01-002-00005-000452,,,,,,,,,,,,,,,,,,
11-01-002-00005-000453,,,,,,,,,,,,,,,,,,
11-01-002-00005-000454,,,,,,,,,,,,,,,,,,
11-01-002-00005-000455,,,,,,,,,,,,,,,,,,
11-01-002-00005-000456,,,,,,,,,,,,,,,,,,
11-01-002-00005-000457,,,,,,,,,,,,,,,,,,
11-01-002-00005-000458,,,,,,,,,,,,,,,,,,
11-01-002-00005-000459,,,,,,,,,,,,,,,,,,
11-01-002-00005-000460,,,,,,,,,,,,,,,,,,
11-01-002-00005-000461,,,,,,,,,,,,,,,,,,
11-01-002-00005-000462,,,,,,,,,,,,,,,,,,
11-01-002-00005-000463,,,,,,,,,,,,,,,,,,
11-01-002-00005-000464,,,,,,,,,,,,,,,,,,
11-01-002-00005-000465,,,,,,,,,,,,,,,,,,
11-01-002-00005-000466,,,,,,,,,,,,,,,,,,
11-01-002-00005-000467,2008-06-21,,2011-07-01,,2009-06-30,,2006.0,,2.34,,118.14,,120.99,,0.0,,Poonch Gund - Bonhama,
11-01-002-00005-000468,,,,,,,,,,,,,,,,,,
11-01-002-00005-000470,,,,,,,,,,,,,,,,,,
11-01-002-00005-000471,2008-10-03,,2014-12-01,,2010-04-12,,2006.0,,4.0,,252.13,,265.46,,0.0,,Parthan - Lassipora,
11-01-002-00005-000472,2008-10-03,,2012-07-01,,2010-04-12,,2006.0,,3.36,,231.38,,261.65,,0.0,,Utligam - Bappet,
11-01-002-00005-000473,2008-10-03,,2012-07-01,,2010-04-12,,2006.0,,3.36,,231.38,,261.65,,0.0,,Utligam - Bappet,
11-01-002-00005-000474,2008-10-03,,2012-07-01,,2010-04-12,,2006.0,,3.36,,231.38,,261.65,,0.0,,Utligam - Bappet,
11-01-002-00005-000475,2002-12-14,,2005-11-01,,2003-12-23,,2001.0,,1.33,,40.64,,41.54,,0.0,,Charrangam to Mamgund,
11-01-002-00005-000476,,,,,,,,,,,,,,,,,,
11-01-002-00005-000477,,,,,,,,,,,,,,,,,,
11-01-002-00005-000478,,,,,,,,,,,,,,,,,,
11-01-002-00005-000479,,,,,,,,,,,,,,,,,,
11-01-002-00005-000481,,,,,,,,,,,,,,,,,,
11-01-002-00005-000482,,,,,,,,,,,,,,,,,,
11-01-002-00005-000483,,,,,,,,,,,,,,,,,,
11-01-002-00005-000484,,,,,,,,,,,,,,,,,,
11-01-002-00005-000485,,,,,,,,,,,,,,,,,,
11-01-002-00005-000486,,,,,,,,,,,,,,,,,,
11-01-002-00005-000487,,,,,,,,,,,,,,,,,,
11-01-002-00005-000488,,,,,,,,,,,,,,,,,,
11-01-002-00005-000489,,,,,,,,,,,,,,,,,,
11-01-002-00005-000490,,,,,,,,,,,,,,,,,,
11-01-002-00005-000491,,,,,,,,,,,,,,,,,,
11-01-002-00005-000492,,,,,,,,,,,,,,,,,,
11-01-002-00005-000493,,,,,,,,,,,,,,,,,,
11-01-002-00005-000494,,,,,,,,,,,,,,,,,,
11-01-002-00005-000495,,,,,,,,,,,,,,,,,,
11-01-002-00005-000496,2011-04-16,,,,,,2007.0,,,,,,,,,,,
11-01-002-00005-000497,,,,,,,,,,,,,,,,,,
11-01-002-00005-000498,,,,,,,,,,,,,,,,,,
11-01-002-00005-000499,,,,,,,,,,,,,,,,,,
11-01-002-00005-000500,,,,,,,,,,,,,,,,,,
11-01-002-00005-000501,,,,,,,,,,,,,,,,,,
11-01-002-00005-000502,,,,,,,,,,,,,,,,,,
11-01-002-00005-000503,,,,,,,,,,,,,,,,,,
11-01-002-00005-000504,,,,,,,,,,,,,,,,,,
11-01-002-00005-000506,,,,,,,,,,,,,,,,,,
11-01-002-00005-000507,2011-03-10,,2013-05-01,,2012-03-30,,2007.0,,1.5,,40.86,,49.21,,0.0,,L030 KM 5th RD 200 - Waterpora,
11-01-002-00005-000508,,,,,,,,,,,,,,,,,,
11-01-002-00005-000509,,,,,,,,,,,,,,,,,,
11-01-002-00005-000510,2008-10-13,,2012-05-01,,2009-07-22,,2006.0,,1.7,,65.7,,83.63,,0.0,,Bonzaingam - Latuna,
11-01-002-00005-000511,,,,,,,,,,,,,,,,,,
11-01-002-00005-000512,,,,,,,,,,,,,,,,,,
11-01-002-00005-000513,,,,,,,,,,,,,,,,,,
11-01-002-00005-000514,,,,,,,,,,,,,,,,,,
11-01-002-00005-000515,,,,,,,,,,,,,,,,,,
11-01-002-00005-000516,,,,,,,,,,,,,,,,,,
11-01-002-00005-000517,2011-06-22,,2014-11-01,,2012-04-30,,2007.0,,1.5,,48.74,,63.32,,0.0,,L030 KM 5th RD 450 - Ganjlalpora,
11-01-002-00005-000518,,,,,,,,,,,,,,,,,,
11-01-002-00005-000519,,,,,,,,,,,,,,,,,,
11-01-002-00005-000520,,,,,,,,,,,,,,,,,,
11-01-002-00005-000521,,,,,,,,,,,,,,,,,,
11-01-002-00005-000522,,,,,,,,,,,,,,,,,,
11-01-002-00006-000524,,,,,,,,,,,,,,,,,,
11-01-002-00006-000525,,,,,,,,,,,,,,,,,,
11-01-002-00006-000526,2008-08-02,,2011-07-01,,2009-05-11,,2006.0,,1.35,,74.36,,80.08,,0.0,,Main Road Waterihal Arizal - Km 5th Kulhama,
11-01-002-00006-000527,,,,,,,,,,,,,,,,,,
11-01-002-00006-000528,,,,,,,,,,,,,,,,,,
11-01-002-00006-000529,,,,,,,,,,,,,,,,,,
11-01-002-00006-000530,,,,,,,,,,,,,,,,,,
11-01-002-00006-000531,2011-02-04,,2012-01-01,,2012-02-14,,2007.0,,1.15,,36.55,,42.01,,0.0,,Keenora - Gundapahah,
11-01-002-00006-000532,,,,,,,,,,,,,,,,,,
11-01-002-00006-000533,,,,,,,,,,,,,,,,,,
11-01-002-00006-000534,,,,,,,,,,,,,,,,,,
11-01-002-00006-000535,,,,,,,,,,,,,,,,,,
11-01-002-00006-000536,,,,,,,,,,,,,,,,,,
11-01-002-00006-000537,,,,,,,,,,,,,,,,,,
11-01-002-00006-000538,,,,,,,,,,,,,,,,,,
11-01-002-00006-000539,,,,,,,,,,,,,,,,,,
11-01-002-00006-000540,,,,,,,,,,,,,,,,,,
11-01-002-00006-000541,2006-11-09,,2010-03-01,,2007-11-08,,2004.0,,5.0,,108.64,,115.4,,0.0,,Lassipora - Ringzabal,
11-01-002-00006-000542,2006-11-09,,2010-03-01,,2007-11-08,,2004.0,,5.0,,108.64,,115.4,,0.0,,Lassipora - Ringzabal,
11-01-002-00006-000543,,,,,,,,,,,,,,,,,,
11-01-002-00006-000544,,,,,,,,,,,,,,,,,,
11-01-002-00006-000545,,2013-08-24,,2015-01-01,,2014-09-03,,2006.0,,12.0,,538.94,,588.43,,0.0,,Arizal - Waterihal
11-01-002-00006-000546,,,,,,,,,,,,,,,,,,
11-01-002-00006-000547,,,,,,,,,,,,,,,,,,
11-01-002-00006-000548,,,,,,,,,,,,,,,,,,
11-01-002-00006-000549,,,,,,,,,,,,,,,,,,
11-01-002-00006-000550,,,,,,,,,,,,,,,,,,
11-01-002-00006-000551,2005-04-25,,2007-03-01,,2006-01-24,,2003.0,,1.64,,32.14,,48.06,,0.0,,REYAR TO REKHAYEE VIA REYAR BEERU,
11-01-002-00006-000552,,,,,,,,,,,,,,,,,,
11-01-002-00006-000553,,,,,,,,,,,,,,,,,,
11-01-002-00006-000554,2006-11-09,,2010-03-01,,2007-11-08,,2004.0,,5.0,,108.64,,115.4,,0.0,,Lassipora - Ringzabal,
11-01-002-00006-000555,,,,,,,,,,,,,,,,,,
11-01-002-00006-000556,,,,,,,,,,,,,,,,,,
11-01-002-00006-000557,,,,,,,,,,,,,,,,,,
11-01-002-00006-000558,,,,,,,,,,,,,,,,,,
11-01-002-00006-000559,,,,,,,,,,,,,,,,,,
11-01-002-00006-000560,,,,,,,,,,,,,,,,,,
11-01-002-00006-000561,,,,,,,,,,,,,,,,,,
11-01-002-00006-000562,,2013-08-24,,2015-01-01,,2014-09-03,,2006.0,,12.0,,538.94,,588.43,,0.0,,Arizal - Waterihal
11-01-002-00006-000563,,,,,,,,,,,,,,,,,,
11-01-002-00006-000564,,,,,,,,,,,,,,,,,,
11-01-002-00006-000565,,,,,,,,,,,,,,,,,,
11-01-002-00006-000566,,,,,,,,,,,,,,,,,,
11-01-002-00006-000567,,,,,,,,,,,,,,,,,,
11-01-002-00006-000568,,,,,,,,,,,,,,,,,,
11-01-002-00006-000569,,,,,,,,,,,,,,,,,,
11-01-002-00006-000570,,,,,,,,,,,,,,,,,,
11-01-002-00006-000572,,,,,,,,,,,,,,,,,,
11-01-002-00006-000573,,,,,,,,,,,,,,,,,,
11-01-002-00006-000574,,,,,,,,,,,,,,,,,,
11-01-002-00006-000575,,,,,,,,,,,,,,,,,,
11-01-002-00006-000576,,,,,,,,,,,,,,,,,,
11-01-002-00006-000577,,,,,,,,,,,,,,,,,,
11-01-002-00006-000578,,,,,,,,,,,,,,,,,,
11-01-002-00006-000579,,,,,,,,,,,,,,,,,,
11-01-002-00006-000580,,,,,,,,,,,,,,,,,,
11-01-002-00006-000581,,,,,,,,,,,,,,,,,,
11-01-002-00006-000582,,,,,,,,,,,,,,,,,,
11-01-002-00006-000583,,,,,,,,,,,,,,,,,,
11-01-002-00006-000584,,,,,,,,,,,,,,,,,,
11-01-002-00006-000585,,,,,,,,,,,,,,,,,,
11-01-002-00006-000586,2005-05-14,,2008-09-01,,2006-02-13,,2003.0,,3.93,,168.45,,190.35,,0.0,,CHECKSHERA TO SHEIKH WADIPORA,
11-01-002-00006-000587,,,,,,,,,,,,,,,,,,
11-01-002-00006-000588,,,,,,,,,,,,,,,,,,
11-01-002-00006-000589,,,,,,,,,,,,,,,,,,
11-01-002-00006-000590,,,,,,,,,,,,,,,,,,
11-01-002-00006-000591,,,,,,,,,,,,,,,,,,
11-01-002-00006-000592,,,,,,,,,,,,,,,,,,
11-01-002-00006-000593,,,,,,,,,,,,,,,,,,
11-01-002-00006-000594,,,,,,,,,,,,,,,,,,
11-01-002-00006-000595,,,,,,,,,,,,,,,,,,
11-01-002-00006-000596,,,,,,,,,,,,,,,,,,
11-01-002-00006-000597,,,,,,,,,,,,,,,,,,
11-01-002-00006-000598,,,,,,,,,,,,,,,,,,
11-01-002-00006-000599,,,,,,,,,,,,,,,,,,
11-01-002-00006-000600,,,,,,,,,,,,,,,,,,
11-01-002-00006-000601,,,,,,,,,,,,,,,,,,
11-01-002-00006-000602,2006-10-12,,2010-10-01,,2007-10-26,,2004.0,,5.0,,151.64,,190.32,,0.0,,Arigam - Frestiwar via shalinar,
11-01-002-00006-000603,2006-10-12,,2010-10-01,,2007-10-26,,2004.0,,5.0,,151.64,,190.32,,0.0,,Arigam - Frestiwar via shalinar,
11-01-002-00006-000605,,,,,,,,,,,,,,,,,,
11-01-002-00006-000606,,,,,,,,,,,,,,,,,,
11-01-002-00006-000608,,,,,,,,,,,,,,,,,,
11-01-002-00006-000609,,,,,,,,,,,,,,,,,,
11-01-002-00006-000610,,,,,,,,,,,,,,,,,,
11-01-002-00006-000611,,,,,,,,,,,,,,,,,,
11-01-002-00006-000612,,,,,,,,,,,,,,,,,,
11-01-002-00006-000613,,,,,,,,,,,,,,,,,,
11-01-002-00006-000614,,,,,,,,,,,,,,,,,,
11-01-002-00006-000615,,,,,,,,,,,,,,,,,,
11-01-002-00006-000616,,,,,,,,,,,,,,,,,,
11-01-002-00006-000617,2006-12-23,,2010-04-01,,2007-12-30,,2004.0,,2.52,,52.33,,75.1,,0.0,,Checki Shera - Trajkhal via checki Qudoos,
11-01-002-00006-000618,,,,,,,,,,,,,,,,,,
11-01-002-00006-000619,2005-04-25,,2008-03-01,,2006-01-24,,2003.0,,1.12,,18.2,,33.92,,0.0,,MUJAPATHRI TO LANILAB,
11-01-002-00006-000620,,,,,,,,,,,,,,,,,,
11-01-002-00006-000621,,,,,,,,,,,,,,,,,,
11-01-002-00006-000622,,,,,,,,,,,,,,,,,,
11-01-002-00007-000623,,,,,,,,,,,,,,,,,,
11-01-002-00007-000624,,,,,,,,,,,,,,,,,,
11-01-002-00007-000625,,,,,,,,,,,,,,,,,,
11-01-002-00007-000626,,,,,,,,,,,,,,,,,,
11-01-002-00007-000627,,,,,,,,,,,,,,,,,,
11-01-002-00007-000628,,,,,,,,,,,,,,,,,,
11-01-002-00007-000629,,,,,,,,,,,,,,,,,,
11-01-002-00007-000630,,,,,,,,,,,,,,,,,,
11-01-002-00007-000631,,,,,,,,,,,,,,,,,,
11-01-002-00007-000632,,,,,,,,,,,,,,,,,,
11-01-002-00007-000633,,,,,,,,,,,,,,,,,,
11-01-002-00007-000634,,,,,,,,,,,,,,,,,,
11-01-002-00007-000635,,,,,,,,,,,,,,,,,,
11-01-002-00007-000636,,,,,,,,,,,,,,,,,,
11-01-002-00007-000637,,,,,,,,,,,,,,,,,,
11-01-002-00007-000638,,,,,,,,,,,,,,,,,,
11-01-002-00007-000639,,,,,,,,,,,,,,,,,,
11-01-002-00007-000640,,,,,,,,,,,,,,,,,,
11-01-002-00007-000641,,,,,,,,,,,,,,,,,,
11-01-002-00007-000642,,,,,,,,,,,,,,,,,,
