shrid2,road_award_date_new,road_award_date_upg,road_comp_date_new,road_comp_date_upg,road_comp_date_stip_new,road_comp_date_stip_upg,road_sanc_year_new,road_sanc_year_upg,road_length_new,road_length_upg,road_cost_new,road_cost_upg,road_cost_sanc_new,road_cost_sanc_upg,road_cost_state_new,road_cost_state_upg,road_name_new,road_name_upg
01-09-01-0002-00034300,,,,,,,,,,,,,,,,,,
01-09-01-0002-00037200,,,,,,,,,,,,,,,,,,
01-09-01-0002-00037300,,,,,,,,,,,,,,,,,,
01-09-01-0002-00038600,,,,,,,,,,,,,,,,,,
01-09-01-0002-00038700,,,,,,,,,,,,,,,,,,
01-09-01-0002-00038800,,,,,,,,,,,,,,,,,,
01-09-01-0002-00041100,,,,,,,,,,,,,,,,,,
01-09-01-0002-00041200,,,,,,,,,,,,,,,,,,
01-09-01-0002-00041300,,,,,,,,,,,,,,,,,,
01-09-01-0002-00041500,,,,,,,,,,,,,,,,,,
01-09-01-0002-00041800,,,,,,,,,,,,,,,,,,
01-09-01-0002-00050300,,,,,,,,,,,,,,,,,,
01-09-01-0002-00052300,,,,,,,,,,,,,,,,,,
01-09-01-0002-00052500,,,,,,,,,,,,,,,,,,
01-09-01-0002-00052600,,,,,,,,,,,,,,,,,,
01-09-01-0002-00052900,,,,,,,,,,,,,,,,,,
01-09-01-0002-00053000,,,,,,,,,,,,,,,,,,
01-09-01-0002-00053100,,,,,,,,,,,,,,,,,,
01-09-01-0002-00053200,,,,,,,,,,,,,,,,,,
01-09-01-0002-00053300,,,,,,,,,,,,,,,,,,
01-09-01-0002-00053400,,,,,,,,,,,,,,,,,,
01-09-01-0002-00053500,,,,,,,,,,,,,,,,,,
01-09-01-0002-00053600,,,,,,,,,,,,,,,,,,
01-09-01-0002-00053900,,,,,,,,,,,,,,,,,,
01-09-01-0002-00054100,,,,,,,,,,,,,,,,,,
01-09-01-0002-00054200,,,,,,,,,,,,,,,,,,
01-09-01-0002-00054300,,,,,,,,,,,,,,,,,,
01-09-01-0002-00056400,,,,,,,,,,,,,,,,,,
01-09-01-0002-00057000,,,,,,,,,,,,,,,,,,
01-09-01-0002-00057200,,,,,,,,,,,,,,,,,,
01-09-03-0003-00374000,,,,,,,,,,,,,,,,,,
01-09-03-0003-00426900,,,,,,,,,,,,,,,,,,
01-09-04-0002-00633500,,,,,,,,,,,,,,,,,,
01-09-05-0003-00804100,,,,,,,,,,,,,,,,,,
01-09-07-0001-00979400,,,,,,,,,,,,,,,,,,
01-09-07-0001-00979600,,,,,,,,,,,,,,,,,,
01-09-09-0001-01070600,,,,,,,,,,,,,,,,,,
01-09-09-0002-01083400,,,,,,,,,,,,,,,,,,
01-09-09-0002-01083500,,,,,,,,,,,,,,,,,,
01-09-09-0002-01083600,,,,,,,,,,,,,,,,,,
01-09-10-0001-01125000,,,,,,,,,,,,,,,,,,
01-09-10-0001-01125100,,,,,,,,,,,,,,,,,,
01-09-10-0001-01125200,,,,,,,,,,,,,,,,,,
01-09-10-0001-01125500,,,,,,,,,,,,,,,,,,
01-09-10-0001-01125600,,,,,,,,,,,,,,,,,,
01-09-10-0001-01125700,,,,,,,,,,,,,,,,,,
01-09-10-0001-01125800,,,,,,,,,,,,,,,,,,
01-09-10-0001-01125900,,,,,,,,,,,,,,,,,,
01-09-10-0001-01126000,,,,,,,,,,,,,,,,,,
01-09-10-0001-01129000,,,,,,,,,,,,,,,,,,
01-09-10-0001-01129100,,,,,,,,,,,,,,,,,,
01-09-10-0001-01129200,,,,,,,,,,,,,,,,,,
01-09-10-0001-01129300,,,,,,,,,,,,,,,,,,
01-09-10-0001-01129400,,,,,,,,,,,,,,,,,,
01-09-10-0002-01137800,,,,,,,,,,,,,,,,,,
01-09-10-0002-01137900,,,,,,,,,,,,,,,,,,
01-09-10-0002-01138000,,,,,,,,,,,,,,,,,,
01-09-10-0002-01138300,,,,,,,,,,,,,,,,,,
01-09-10-0002-01138400,,,,,,,,,,,,,,,,,,
01-09-10-0002-01138500,,,,,,,,,,,,,,,,,,
01-09-10-0002-01138700,,,,,,,,,,,,,,,,,,
01-09-10-0002-01138800,,,,,,,,,,,,,,,,,,
01-09-10-0002-01140100,,,,,,,,,,,,,,,,,,
01-09-10-0002-01140200,,,,,,,,,,,,,,,,,,
01-09-10-0002-01140300,,,,,,,,,,,,,,,,,,
01-09-10-0002-01140400,,,,,,,,,,,,,,,,,,
01-09-10-0002-01140500,,,,,,,,,,,,,,,,,,
01-09-10-0002-01140600,,,,,,,,,,,,,,,,,,
01-09-10-0002-01140700,,,,,,,,,,,,,,,,,,
01-09-10-0002-01140800,,,,,,,,,,,,,,,,,,
01-09-10-0002-01140900,,,,,,,,,,,,,,,,,,
01-09-10-0002-01141000,,,,,,,,,,,,,,,,,,
01-09-10-0002-01141100,,,,,,,,,,,,,,,,,,
01-09-10-0002-01141200,,,,,,,,,,,,,,,,,,
01-09-10-0002-01141300,,,,,,,,,,,,,,,,,,
01-09-10-0002-01141400,,,,,,,,,,,,,,,,,,
01-09-10-0002-01141900,,,,,,,,,,,,,,,,,,
01-09-10-0002-01142000,,,,,,,,,,,,,,,,,,
01-09-10-0002-01142100,,,,,,,,,,,,,,,,,,
01-09-10-0002-01142200,,,,,,,,,,,,,,,,,,
01-09-10-0002-01142300,,,,,,,,,,,,,,,,,,
01-09-10-0002-01142400,,,,,,,,,,,,,,,,,,
01-09-10-0002-01142500,,,,,,,,,,,,,,,,,,
01-09-10-0002-01142600,,,,,,,,,,,,,,,,,,
01-09-10-0002-01142900,,,,,,,,,,,,,,,,,,
01-09-10-0002-01143000,,,,,,,,,,,,,,,,,,
01-09-10-0002-01143300,,,,,,,,,,,,,,,,,,
01-09-10-0002-01143800,,,,,,,,,,,,,,,,,,
01-09-12-0004-01361900,,,,,,,,,,,,,,,,,,
01-09-16-0002-01671500,,,,,,,,,,,,,,,,,,
01-09-16-0002-01673000,,,,,,,,,,,,,,,,,,
01-09-16-0002-01673100,,,,,,,,,,,,,,,,,,
01-09-16-0002-01674000,,,,,,,,,,,,,,,,,,
01-09-16-0002-01674800,,,,,,,,,,,,,,,,,,
01-09-16-0002-01674900,,,,,,,,,,,,,,,,,,
01-09-16-0002-01675200,,,,,,,,,,,,,,,,,,
01-09-16-0002-01675800,,,,,,,,,,,,,,,,,,
01-09-16-0002-01675900,,,,,,,,,,,,,,,,,,
01-09-16-0002-01676000,,,,,,,,,,,,,,,,,,
01-09-16-0002-01676100,,,,,,,,,,,,,,,,,,
01-09-16-0002-01676200,,,,,,,,,,,,,,,,,,
01-09-16-0003-01706800,,,,,,,,,,,,,,,,,,
01-09-19-0005-02122600,,,,,,,,,,,,,,,,,,
01-09-19-0005-02127400,,,,,,,,,,,,,,,,,,
01-09-20-0003-02279700,,,,,,,,,,,,,,,,,,
01-09-20-0005-02336900,,,,,,,,,,,,,,,,,,
01-09-21-0001-02430200,,,,,,,,,,,,,,,,,,
01-09-21-0003-02495800,,,,,,,,,,,,,,,,,,
01-09-21-0003-02499600,,,,,,,,,,,,,,,,,,
01-09-21-0003-02505800,,,,,,,,,,,,,,,,,,
01-09-21-0003-02506900,,,,,,,,,,,,,,,,,,
01-09-21-0003-02508700,,,,,,,,,,,,,,,,,,
01-09-21-0003-02516900,,,,,,,,,,,,,,,,,,
01-09-22-0002-02616000,,,,,,,,,,,,,,,,,,
01-09-22-0002-02616100,,,,,,,,,,,,,,,,,,
01-09-22-0003-02718500,,,,,,,,,,,,,,,,,,
01-09-23-0001-02777600,,,,,,,,,,,,,,,,,,
01-09-23-0001-02787900,,,,,,,,,,,,,,,,,,
01-09-23-0001-02789200,,,,,,,,,,,,,,,,,,
01-09-23-0001-02796600,,,,,,,,,,,,,,,,,,
01-09-23-0002-02828200,,,,,,,,,,,,,,,,,,
01-09-23-0002-02829200,,,,,,,,,,,,,,,,,,
01-09-25-0001-03232000,,,,,,,,,,,,,,,,,,
01-09-25-0001-03236700,,,,,,,,,,,,,,,,,,
01-09-27-0002-03613300,,,,,,,,,,,,,,,,,,
01-09-27-0002-03613400,,,,,,,,,,,,,,,,,,
01-09-27-0002-03613500,,,,,,,,,,,,,,,,,,
01-09-27-0002-03613800,,,,,,,,,,,,,,,,,,
01-09-27-0002-03613900,,,,,,,,,,,,,,,,,,
01-09-27-0002-03614000,,,,,,,,,,,,,,,,,,
01-09-27-0002-03614100,,,,,,,,,,,,,,,,,,
01-09-27-0002-03614200,,,,,,,,,,,,,,,,,,
01-09-27-0002-03614300,,,,,,,,,,,,,,,,,,
01-09-27-0002-03614700,,,,,,,,,,,,,,,,,,
01-09-27-0002-03615100,,,,,,,,,,,,,,,,,,
01-09-27-0002-03618100,,,,,,,,,,,,,,,,,,
01-09-27-0002-03618200,,,,,,,,,,,,,,,,,,
01-09-27-0002-03618500,,,,,,,,,,,,,,,,,,
01-09-27-0002-03618600,,,,,,,,,,,,,,,,,,
01-09-27-0002-03618700,,,,,,,,,,,,,,,,,,
01-09-27-0002-03618800,,,,,,,,,,,,,,,,,,
01-09-27-0002-03618900,,,,,,,,,,,,,,,,,,
01-09-27-0002-03619000,,,,,,,,,,,,,,,,,,
01-09-27-0002-03619100,,,,,,,,,,,,,,,,,,
01-09-27-0002-03619200,,,,,,,,,,,,,,,,,,
01-09-27-0002-03619300,,,,,,,,,,,,,,,,,,
01-09-27-0002-03619400,,,,,,,,,,,,,,,,,,
01-09-36-0005-04572400,,,,,,,,,,,,,,,,,,
01-09-36-0005-04572500,,,,,,,,,,,,,,,,,,
01-09-36-0005-04572600,,,,,,,,,,,,,,,,,,
01-09-36-0005-04573800,,,,,,,,,,,,,,,,,,
01-09-36-0005-04579800,,,,,,,,,,,,,,,,,,
01-09-36-0005-04580000,,,,,,,,,,,,,,,,,,
01-09-36-0005-04581200,,,,,,,,,,,,,,,,,,
01-09-36-0005-04581300,,,,,,,,,,,,,,,,,,
01-09-36-0005-04584700,,,,,,,,,,,,,,,,,,
01-09-36-0005-04584900,,,,,,,,,,,,,,,,,,
01-09-36-0005-04585000,,,,,,,,,,,,,,,,,,
01-09-36-0005-04585100,,,,,,,,,,,,,,,,,,
01-09-36-0005-04585200,,,,,,,,,,,,,,,,,,
01-09-36-0005-04585300,,,,,,,,,,,,,,,,,,
01-09-36-0005-04585400,,,,,,,,,,,,,,,,,,
01-09-36-0005-04585600,,,,,,,,,,,,,,,,,,
01-09-42-0001-04936500,,,,,,,,,,,,,,,,,,
01-09-42-0003-05040300,,,,,,,,,,,,,,,,,,
01-09-42-0003-05040800,,,,,,,,,,,,,,,,,,
01-09-44-0003-05371000,,,,,,,,,,,,,,,,,,
01-09-45-0004-05502000,,,,,,,,,,,,,,,,,,
01-09-47-0001-05878500,,,,,,,,,,,,,,,,,,
01-09-47-0004-05937000,,,,,,,,,,,,,,,,,,
01-09-47-0004-05937600,,,,,,,,,,,,,,,,,,
01-09-47-0004-05938400,,,,,,,,,,,,,,,,,,
01-09-48-0004-06149900,,,,,,,,,,,,,,,,,,
01-09-48-0004-06150000,,,,,,,,,,,,,,,,,,
01-09-48-0004-06150100,,,,,,,,,,,,,,,,,,
01-09-48-0004-06150900,,,,,,,,,,,,,,,,,,
01-09-48-0004-06151000,,,,,,,,,,,,,,,,,,
01-09-48-0004-06151100,,,,,,,,,,,,,,,,,,
01-09-48-0004-06151200,,,,,,,,,,,,,,,,,,
01-09-48-0004-06151300,,,,,,,,,,,,,,,,,,
01-09-48-0004-06151400,,,,,,,,,,,,,,,,,,
01-09-48-0004-06157800,,,,,,,,,,,,,,,,,,
01-09-48-0004-06157900,,,,,,,,,,,,,,,,,,
01-09-48-0004-06158000,,,,,,,,,,,,,,,,,,
01-09-48-0004-06158100,,,,,,,,,,,,,,,,,,
01-09-48-0004-06158200,,,,,,,,,,,,,,,,,,
01-09-48-0004-06158400,,,,,,,,,,,,,,,,,,
01-09-48-0004-06159000,,,,,,,,,,,,,,,,,,
01-09-48-0004-06159100,,,,,,,,,,,,,,,,,,
01-09-48-0004-06159200,,,,,,,,,,,,,,,,,,
01-09-48-0004-06159300,,,,,,,,,,,,,,,,,,
01-09-48-0004-06159400,,,,,,,,,,,,,,,,,,
01-09-48-0004-06159500,,,,,,,,,,,,,,,,,,
01-09-48-0004-06159600,,,,,,,,,,,,,,,,,,
01-09-48-0004-06159700,,,,,,,,,,,,,,,,,,
01-09-48-0004-06159900,,,,,,,,,,,,,,,,,,
01-09-48-0004-06160000,,,,,,,,,,,,,,,,,,
01-09-48-0004-06160100,,,,,,,,,,,,,,,,,,
01-09-48-0004-06160200,,,,,,,,,,,,,,,,,,
01-09-48-0004-06160300,,,,,,,,,,,,,,,,,,
01-09-48-0004-06160800,,,,,,,,,,,,,,,,,,
01-09-50-0001-06425100,,,,,,,,,,,,,,,,,,
01-09-50-0001-06430600,,,,,,,,,,,,,,,,,,
01-09-50-0001-06433500,,,,,,,,,,,,,,,,,,
01-09-50-0001-06440100,,,,,,,,,,,,,,,,,,
01-09-50-0001-06448100,,,,,,,,,,,,,,,,,,
01-09-51-0001-06561000,,,,,,,,,,,,,,,,,,
01-09-51-0001-06568400,,,,,,,,,,,,,,,,,,
01-09-52-0002-06670100,,,,,,,,,,,,,,,,,,
01-09-52-0002-06671300,,,,,,,,,,,,,,,,,,
01-09-53-0004-06869000,,,,,,,,,,,,,,,,,,
01-09-54-0002-06984600,,,,,,,,,,,,,,,,,,
01-09-54-0002-06984700,,,,,,,,,,,,,,,,,,
01-09-54-0002-06984800,,,,,,,,,,,,,,,,,,
01-09-54-0002-06985000,,,,,,,,,,,,,,,,,,
01-09-54-0002-06985100,,,,,,,,,,,,,,,,,,
01-09-54-0002-06985200,,,,,,,,,,,,,,,,,,
01-09-54-0002-06985300,,,,,,,,,,,,,,,,,,
01-09-54-0002-06985400,,,,,,,,,,,,,,,,,,
01-09-54-0002-06985700,,,,,,,,,,,,,,,,,,
01-09-54-0002-06985800,,,,,,,,,,,,,,,,,,
01-09-54-0002-06985900,,,,,,,,,,,,,,,,,,
01-09-54-0002-06986000,,,,,,,,,,,,,,,,,,
01-09-54-0002-06986700,,,,,,,,,,,,,,,,,,
01-09-54-0002-06986800,,,,,,,,,,,,,,,,,,
01-09-54-0002-06987000,,,,,,,,,,,,,,,,,,
01-09-54-0002-06987500,,,,,,,,,,,,,,,,,,
01-09-54-0005-07120000,,,,,,,,,,,,,,,,,,
01-09-54-0005-07134700,,,,,,,,,,,,,,,,,,
01-09-54-0005-07134900,,,,,,,,,,,,,,,,,,
01-09-54-0005-07135200,,,,,,,,,,,,,,,,,,
01-09-54-0005-07135300,,,,,,,,,,,,,,,,,,
01-09-54-0005-07135400,,,,,,,,,,,,,,,,,,
01-09-54-0005-07135500,,,,,,,,,,,,,,,,,,
01-09-55-0002-07227500,,,,,,,,,,,,,,,,,,
01-09-55-0002-07227600,,,,,,,,,,,,,,,,,,
01-09-55-0002-07228100,,,,,,,,,,,,,,,,,,
01-09-55-0002-07228200,,,,,,,,,,,,,,,,,,
01-09-57-0001-07674800,,,,,,,,,,,,,,,,,,
01-09-57-0001-07679400,,,,,,,,,,,,,,,,,,
01-09-57-0003-07729900,,,,,,,,,,,,,,,,,,
01-09-57-0003-07737500,,,,,,,,,,,,,,,,,,
01-09-57-0003-07742100,,,,,,,,,,,,,,,,,,
01-09-57-0004-07745200,,,,,,,,,,,,,,,,,,
01-09-58-0002-07830600,,,,,,,,,,,,,,,,,,
01-09-58-0002-07830800,,,,,,,,,,,,,,,,,,
01-09-58-0002-07830900,,,,,,,,,,,,,,,,,,
01-09-62-0004-09032600,,,,,,,,,,,,,,,,,,
01-09-62-0004-09035600,,,,,,,,,,,,,,,,,,
01-09-62-0004-09035700,,,,,,,,,,,,,,,,,,
01-09-62-0004-09035800,,,,,,,,,,,,,,,,,,
01-09-62-0004-09036100,,,,,,,,,,,,,,,,,,
01-09-62-0004-09036200,,,,,,,,,,,,,,,,,,
01-09-64-0002-09405300,,,,,,,,,,,,,,,,,,
01-09-66-0002-10045100,,,,,,,,,,,,,,,,,,
01-09-66-0003-10138100,,,,,,,,,,,,,,,,,,
01-09-67-0002-10218700,,,,,,,,,,,,,,,,,,
01-09-67-0002-10224000,,,,,,,,,,,,,,,,,,
01-09-67-0002-10226300,,,,,,,,,,,,,,,,,,
01-09-67-0002-10231600,,,,,,,,,,,,,,,,,,
01-09-67-0002-10260500,,,,,,,,,,,,,,,,,,
01-09-68-0002-10385100,,,,,,,,,,,,,,,,,,
01-09-69-0002-10479100,,,,,,,,,,,,,,,,,,
01-09-70-0003-10718800,,,,,,,,,,,,,,,,,,
01-09-70-0003-10727700,,,,,,,,,,,,,,,,,,
01-10-02-0025-00262200,,,,,,,,,,,,,,,,,,
01-10-02-0025-00262400,,,,,,,,,,,,,,,,,,
01-10-05-0014-00447100,,,,,,,,,,,,,,,,,,
01-10-09-0007-00753700,,,,,,,,,,,,,,,,,,
01-10-22-0008-02336800,,,,,,,,,,,,,,,,,,
01-10-28-0006-02954300,,,,,,,,,,,,,,,,,,
01-10-28-0008-02977900,,,,,,,,,,,,,,,,,,
01-10-28-0008-02978500,,,,,,,,,,,,,,,,,,
01-11-03-0001-00026700,,,,,,,,,,,,,,,,,,
01-11-03-0001-00026800,,,,,,,,,,,,,,,,,,
01-13-02-0003-00013200,,,,,,,,,,,,,,,,,,
01-13-02-0016-00029700,,,,,,,,,,,,,,,,,,
01-13-02-0016-00029800,,,,,,,,,,,,,,,,,,
01-13-04-0003-00050200,,,,,,,,,,,,,,,,,,
01-13-04-0003-00050300,,,,,,,,,,,,,,,,,,
01-13-06-0007-00100500,,,,,,,,,,,,,,,,,,
01-13-07-0005-00109500,,,,,,,,,,,,,,,,,,
01-13-07-0012-00121100,,,,,,,,,,,,,,,,,,
01-13-07-0012-00121200,,,,,,,,,,,,,,,,,,
01-14-06-0003-00159100,,,,,,,,,,,,,,,,,,
01-14-06-0003-00159800,,,,,,,,,,,,,,,,,,
01-14-06-0004-00161300,,,,,,,,,,,,,,,,,,
01-14-06-0004-00161600,,,,,,,,,,,,,,,,,,
01-15-01-0001-00002000,,,,,,,,,,,,,,,,,,
01-15-01-0001-00002300,,,,,,,,,,,,,,,,,,
01-15-01-0001-00004400,,,,,,,,,,,,,,,,,,
01-15-03-0003-00021700,,,,,,,,,,,,,,,,,,
01-15-03-0003-00021900,,,,,,,,,,,,,,,,,,
01-15-03-0003-00022000,,,,,,,,,,,,,,,,,,
01-15-03-0003-00022100,,,,,,,,,,,,,,,,,,
01-15-03-0003-00022200,,,,,,,,,,,,,,,,,,
01-15-03-0003-00022300,,,,,,,,,,,,,,,,,,
01-15-03-0003-00022400,,,,,,,,,,,,,,,,,,
01-15-03-0003-00022500,,,,,,,,,,,,,,,,,,
01-15-03-0003-00022600,,,,,,,,,,,,,,,,,,
01-15-03-0003-00022700,,,,,,,,,,,,,,,,,,
01-15-03-0003-00022800,,,,,,,,,,,,,,,,,,
01-15-03-0003-00022900,,,,,,,,,,,,,,,,,,
01-15-03-0003-00023000,,,,,,,,,,,,,,,,,,
01-15-03-0003-00023100,,,,,,,,,,,,,,,,,,
01-15-03-0003-00023200,,,,,,,,,,,,,,,,,,
01-15-03-0003-00023400,,,,,,,,,,,,,,,,,,
01-15-03-0003-00023500,,,,,,,,,,,,,,,,,,
01-15-03-0003-00023600,,,,,,,,,,,,,,,,,,
01-15-03-0003-00023700,,,,,,,,,,,,,,,,,,
01-15-03-0003-00023800,,,,,,,,,,,,,,,,,,
01-15-03-0003-00023900,,,,,,,,,,,,,,,,,,
01-15-03-0003-00024100,,,,,,,,,,,,,,,,,,
01-15-03-0090-00024400,,,,,,,,,,,,,,,,,,
01-15-03-0090-00024600,,,,,,,,,,,,,,,,,,
01-15-03-0090-00024700,,,,,,,,,,,,,,,,,,
01-15-03-0090-00024800,,,,,,,,,,,,,,,,,,
01-15-03-0090-00024900,,,,,,,,,,,,,,,,,,
01-15-03-0090-00025000,,,,,,,,,,,,,,,,,,
01-15-03-0090-00025100,,,,,,,,,,,,,,,,,,
01-15-03-0090-00025200,,,,,,,,,,,,,,,,,,
01-15-03-0090-00025300,,,,,,,,,,,,,,,,,,
01-15-03-0091-00025400,,,,,,,,,,,,,,,,,,
01-15-03-0091-00025500,,,,,,,,,,,,,,,,,,
